"Get SmartFocus templates","Get SmartFocus templates"
"Template Mapping Configuration","Template Mapping Configuration"
"Sending Mode","Sending Mode"
"From","From"
"To","To"
"Attribute Mapping","Attribute Mapping"
"There is no Magento email templates which can be used for this account !","There is no Magento email templates which can be used for this account !"
"Magento Template Name","Magento Template Name"
"SmartFocus Account","SmartFocus Account"
"SmartFocus Template Name","SmartFocus Template Name"
"Edit '%s' Email Template","Edit '%s' Email Template"
"New Email Template","New Email Template"
Mode","Mode"
"SmartFocus Template Id And Name","SmartFocus Template Id And Name"
"Action","Action"
"Edit","Edit"
"Get Error","Get Error"
"ID","ID"
"Email","Email"
"Type","Type"
"Original Magento Template","Original Magento Template"
"Magento Template","Magento Template"
"Account Name","Account Name"
"SmartFocus Template","SmartFocus Template"
"Error","Error"
"Success","Success"
"Action","Action"
"Number of Attempts","Number of Attempts"
"First Attempt","First Attempt"
"Last Attempt","Last Attempt"
"SmartFocus Transactional Emails","SmartFocus Transactional Emails"
"Add New Transactional Email","Add New Transactional Email"
"Email Sending Logs","Email Sending Logs"
"Transactional Messages (NMP)","Transactional Messages (NMP)"
"Email Templates","Email Templates"
"Email Sending Logs","Email Sending Logs"
"Re-scheduled Email List","Re-scheduled Email List"
"Activate Sending Log","Activate Sending Log"
"Rescheduled Emails","Rescheduled Emails"
"By default, only error emails will be logged","By default, only error emails will be logged"
"Activate Sending Parameters Log","Activate Sending Parameters Log"
"All SmartFocus sending parameters will be logged","All SmartFocus sending parameters will be logged"
"Resending Mechanism Configuration","Resending Mechanism Configuration"
"Activate Resending Mechanism","Activate Resending Mechanism"
"First Delay (in minutes)","First Delay (in minutes)"
"Second Delay (in minutes)","Second Delay (in minutes)"
"Third Delay (in minutes)","Third Delay (in minutes)"
"Fourth Delay (in minutes)","Fourth Delay (in minutes)"
"SmartFocus template parameters are not valid !","SmartFocus template parameters are not valid !"
"Manage Email Templates","Manage Email Templates"
"SmartFocus account has not been set !","SmartFocus account has not been set !"
"New Template","New Template"
"Your SmartFocus account associated to this template does not exist anymore ! Please delete it !","Your SmartFocus account associated to this template does not exist anymore ! Please delete it !"
"Your selected Magento template does not exist. Please select a new one !","Your selected Magento template does not exist. Please select a new one !"
"There isn't any template in this period !","There isn't any template in this period !"
"There is no Magento templates not mapped with this account !","There is no Magento templates not mapped with this account !"
"The template was saved.","The template was saved."
"The template was deleted.","The template was deleted."
"Please select email template(s) !","Please select email template(s) !"
"Total of %d template(s) were deleted.","Total of %d template(s) were deleted."
"Not found template!","Not found template!"
"Please select email sending log(s) !","Please select email sending log(s) !"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Not found error log !","Not found error log !"
"Please select record(s) !","Please select record(s) !"
"Re-scheduled Email List","Re-scheduled Email List"
"Magento attribute is required !","Magento attribute is required !"
"SmartFocus attribute is required !","SmartFocus attribute is required !"
"Please provide the attribute type !","Please provide the attribute type !"
"Unknown attribute type !","Unknown attribute type !"
"Please select a SmartFocus template !'","Please select a SmartFocus template !'"
"SmartFocus account is required !","SmartFocus account is required !"
"Please select a SmartFocus account !","Please select a SmartFocus account !"
"Your selected SmartFocus account does not exist anymore ! Please select a new one !","Your selected SmartFocus account does not exist anymore ! Please select a new one !"
"Magento template is required !","Magento template is required !"
"Please select a Magento template !","Please select a Magento template !"
"This Magento template is already mapped !","This Magento template is already mapped !"
"Please select another Magento template !","Please select another Magento template !"
"Sending mode is required !","Sending mode is required !"
"Please select a sending mode !","Please select a sending mode !"
"This sending mode doesn't exists !","This sending mode doesn't exists !"
"Please select another sending mode !","Please select another sending mode !"
"SmartFocus template is required !","SmartFocus template is required !"
"Please select an SmartFocus template !","Please select an SmartFocus template !"
"Please select another SmartFocus template !","Please select another SmartFocus template !"
"SmartFocus attribute '%s' is already mapped !","SmartFocus attribute '%s' is already mapped !"
"Normal","Normal"
"Resending","Resending"
"Unknow Error","Unknow Error"
"Server Error","Server Error"
"Network Problem","Network Problem"
"Invalid SmartFocus Parameters","Invalid SmartFocus Parameters"
"Classic","Classic"
"SmartFocus Template","SmartFocus Template"
"SmartFocus Routage","SmartFocus Routage"
"Refresh All Attributes","Refresh All Attributes"
"Insert Prepared Magento Variables","Insert Prepared Magento Variables"
"Please select a template","Please select a template"
"EMV DYN Attribute Mapping","EMV DYN Attribute Mapping"
"EMV CONTENT Attribute Mapping","EMV CONTENT Attribute Mapping"
"Configuration","Configuration"
"SmartFocus - Transactional Service Setting","SmartFocus - Transactional Service Setting"
"General","General"
"Available Attributes","Available Attributes"
"Invalid Attributes (from the last save)","Invalid Attributes (from the last save)"
"Personalized Content","Personalized Content"
"Preview","Preview"
"Template Information","Template Information"
"Are you sure to change the sending mode ? All your mapped attributes will be deleted !","Are you sure to change the sending mode ? All your mapped attributes will be deleted !"
"SmartFocus Attribute","SmartFocus Attribute"
"Are you sure to refresh all your mapped SmartFocus Attributes ?","Are you sure to refresh all your mapped SmartFocus Attributes ?"
"Check and Configure your SmartFocus Account","Check and Configure your SmartFocus Account"
"Your account is correctly set up and ready to send emails","Your account is correctly set up and ready to send emails"