"Total Abandoned Cart Report","Total Abandoned Cart Report"
"the first reminders","the first reminders"
"the second reminders","the second reminders"
"the third reminders","the third reminders"
"Converted Cart Report for %s","Converted Cart Report for %s"
"Abandoned Cart Conversion Report","Abandoned Cart Conversion Report"
"Sent","Sent"
"Converted","Converted"
"Conversion Rate","Conversion Rate"
"Total Revenue","Total Revenue"
"Average Revenue","Average Revenue"
"SCA Email 1 - Second Reminder","SCA Email 1 - Second Reminder"
"SCA Email 2 - Second Reminder","SCA Email 2 - Second Reminder"
"SCA Email 3 - Third Reminder","SCA Email 3 - Third Reminder"
"Shopping Cart Abandonment","Shopping Cart Abandonment"
"Total","Total"
"Converted Cart Report","Converted Cart Report"
"First Name","First Name"
"Last Name","Last Name"
"Purchase On","Purchase On"
"Order #","Order #"
"Ordered Quantity","Ordered Quantity"
"Coupon Code","Coupon Code"
"Subtotal","Subtotal"
"Shipping","Shipping"
"Discount","Discount"
"Order Total","Order Total"